ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
633,0.001,0.000,0.064,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\openpifpaf\annotation.py:108(bbox)
633,0.019,0.000,0.062,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\openpifpaf\annotation.py:113(bbox_from_keypoints)
422,0.002,0.000,0.002,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\openpifpaf\decoder\caf_scored.py:16(__init__)
10256,0.002,0.000,0.002,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\multiarray.py:80(empty_like)
59884,0.015,0.000,0.015,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\multiarray.py:148(concatenate)
67184,0.019,0.000,0.019,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\multiarray.py:736(dot)
45328,0.012,0.000,0.012,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\multiarray.py:1071(copyto)
1688,0.004,0.000,0.005,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numerictypes.py:230(obj2sctype)
3376,0.004,0.000,0.007,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numerictypes.py:284(issubclass_)
1688,0.006,0.000,0.013,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numerictypes.py:358(issubdtype)
1688,0.004,0.000,0.009,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numerictypes.py:435(__getitem__)
9,0.000,0.000,0.001,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\pathlib.py:64(parse_parts)
17,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\pathlib.py:146(splitroot)
9,0.000,0.000,0.001,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\pathlib.py:658(_parse_args)
9,0.000,0.000,0.001,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\pathlib.py:678(_from_parts)
8,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\pathlib.py:701(_format_parsed_parts)
8,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\pathlib.py:718(__str__)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\pathlib.py:804(name)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\pathlib.py:812(suffix)
9,0.000,0.000,0.001,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\pathlib.py:1039(__new__)
9,0.000,0.000,0.000,0.000,C:\Users\daiki\AppData\Local\Programs\Python\Python38\lib\pathlib.py:1049(_init)
10256,0.014,0.000,0.036,0.000,<__array_function__ internals>:2(empty_like)
59884,0.076,0.000,0.349,0.000,<__array_function__ internals>:2(concatenate)
67184,0.088,0.000,0.379,0.000,<__array_function__ internals>:2(dot)
45328,0.059,0.000,0.204,0.000,<__array_function__ internals>:2(copyto)
24754,0.006,0.000,0.006,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\shape_base.py:19(_atleast_1d_dispatcher)
12748,0.028,0.000,0.110,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numeric.py:149(ones)
22324,0.040,0.000,0.157,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numeric.py:289(full)
10256,0.003,0.000,0.003,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numeric.py:353(_full_like_dispatcher)
10256,0.023,0.000,0.102,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numeric.py:357(full_like)
845,0.001,0.000,0.002,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numeric.py:1385(<listcomp>)
845,0.006,0.000,0.008,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numeric.py:1335(normalize_axis_tuple)
422,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numeric.py:1394(_moveaxis_dispatcher)
422,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numeric.py:1460(<listcomp>)
422,0.006,0.000,0.018,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numeric.py:1398(moveaxis)
1,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\numeric.py:1679(indices)
23632,0.025,0.000,0.025,0.000,{built-in method torch._C._get_cudnn_enabled}
422,0.002,0.000,0.002,0.000,{built-in method torch._C.get_default_dtype}
17302,0.015,0.000,0.015,0.000,{built-in method torch._C._has_torch_function_unary}
23632,0.018,0.000,0.018,0.000,{built-in method torch._C._has_torch_function_variadic}
844,0.000,0.000,0.000,0.000,{built-in method torch._C._set_grad_enabled}
1266,0.001,0.000,0.001,0.000,{built-in method torch._C.is_grad_enabled}
24754,0.067,0.000,0.118,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
37757,0.123,0.000,0.303,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
632,0.000,0.000,0.000,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\shape_base.py:135(_atleast_3d_dispatcher)
632,0.002,0.000,0.003,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\shape_base.py:139(atleast_3d)
18281,0.013,0.000,0.024,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
10256,0.007,0.000,0.020,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\shape_base.py:218(_vhstack_dispatcher)
10256,0.027,0.000,0.137,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\shape_base.py:285(hstack)
61732,0.119,0.000,21.333,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
89587,0.074,0.000,0.074,0.000,C:\Users\daiki\PycharmProjects\openpifpaf_fall_debug\venv\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
